,Global CO2 flux from cont. arcs (Mt C/yr),Global CO2 flux from cont. arcs (Mt C/yr),Global CO2 flux from cont. arcs (Mt C/yr)
Age (Ma),min,mean,max
456,6.509559387,7.289736148,8.079255319
457,6.48848659,7.223773087,7.962234043
458,6.467413793,7.157810026,7.845212766
459,6.446340996,7.093963964,7.737773852
460,6.425268199,7.030900901,7.631766784
461,6.401203008,6.967837838,7.526183746
462,6.376140351,6.904774775,7.430777385
463,6.351077694,6.841015801,7.335371025
464,6.326015038,6.775553047,7.236666667
465,6.298790698,6.710090293,7.125555556
466,6.270883721,6.64462754,7.014444444
467,6.242976744,6.579164786,6.914136364
468,6.215069767,6.511760722,6.818681818
469,6.186093023,6.444040632,6.710700637
470,6.155860465,6.376320542,6.589681529
471,6.125627907,6.308600451,6.492101911
472,6.095395349,6.259041262,6.405632911
473,6.067767442,6.233555825,6.336012658
474,6.053813953,6.208070388,6.277051793
475,6.039860465,6.182584951,6.2212749
476,6.025906977,6.157099515,6.175197889
477,6.011953488,6.131614078,6.156728232
478,6.012155388,6.106128641,6.138258575
479,6.014661654,6.080643204,6.119788918
480,6.01716792,6.06523622,6.117460317
481,6.019674185,6.092795276,6.133333333
482,6.038017751,6.120354331,6.149206349
483,6.058727811,6.147913386,6.18306962
484,6.07943787,6.175472441,6.217879747
485,6.100594595,6.203031496,6.252689873
486,6.122216216,6.230590551,6.304507042
487,6.143837838,6.258149606,6.36084507
488,6.165459459,6.299460674,6.417183099
489,6.188013029,6.351146067,6.501306306
490,6.210814332,6.402831461,6.586891892
491,6.233615635,6.454516854,6.670592885
492,6.259512195,6.508503937,6.753596838
493,6.286612466,6.579370079,6.837679558
494,6.313712737,6.65023622,6.926077348
495,6.3409,6.721102362,7.018838174
496,6.3709,6.791968504,7.118423237
497,6.4009,6.862167832,7.218008299
498,6.4309,6.916363636,7.326166667
499,6.460904872,6.970559441,7.4345
500,6.491067285,7.024755245,7.53017301
501,6.521229698,7.078951049,7.616678201
502,6.551392111,7.133146853,7.703183391
503,6.581554524,7.189489194,7.795519288
504,6.608741866,7.250392927,7.890474777
505,6.634772234,7.31129666,7.985430267
506,6.660802603,7.372200393,8.078486647
507,6.686832972,7.433104126,8.167507418
508,6.711892925,7.490454545,8.25652819
509,6.729101338,7.535909091,8.345548961
510,6.746309751,7.581363636,8.417857143
511,6.763518164,7.626818182,8.489285714
512,6.780726577,7.672272727,8.560714286
513,6.79793499,7.717727273,8.622702079
514,6.802728682,7.751244094,8.67812933
515,6.805829457,7.773291339,8.733556582
516,6.808930233,7.795338583,8.788983834
517,6.812031008,7.817385827,8.83625
518,6.815131783,7.839433071,8.860288462
519,6.818232558,7.861480315,8.884326923
520,6.816006192,7.88,8.908365385
521,6.806718266,7.88,8.932403846
522,6.797430341,7.88,8.956442308
523,6.788142415,7.88,8.980320513
524,6.778854489,7.88,8.996346154
525,6.769566563,7.88,9.012371795
526,6.760278638,7.88,9.028397436
527,6.747369792,7.88,9.044423077
528,6.734348958,7.88,9.060448718
529,6.721328125,7.88,9.076474359
530,6.708307292,7.88,9.090833333
531,6.695286458,7.880704356,9.104722222
532,6.682265625,7.882557924,9.118611111
533,6.669244792,7.884411492,9.1325
534,6.655846354,7.88626506,9.146388889
535,6.641523438,7.888118628,9.160277778
536,6.627200521,7.889972196,9.174166667
537,6.612877604,7.891825765,9.187260083
538,6.598554688,7.893679333,9.199777469
539,6.584231771,7.895532901,9.212294854
540,6.569908854,7.897386469,9.224812239
541,6.555585938,7.899240037,9.237329624
542,6.543951841,7.904650901,9.24984701
543,6.534036827,7.912533784,9.262364395
544,6.524121813,7.920416667,9.280340909
545,6.514206799,7.92829955,9.306856061
546,6.504291785,7.936182432,9.333371212
547,6.494376771,7.944065315,9.359886364
548,6.484461756,7.951948198,9.386401515
549,6.48198915,7.959831081,9.415142857
550,6.485605787,7.967713964,9.461896104
551,6.489222423,7.991330472,9.508649351
552,6.49283906,8.021373391,9.555402597
553,6.496455696,8.051416309,9.602380952
554,6.500252708,8.081459227,9.65
555,6.512888087,8.111502146,9.697619048
556,6.525523466,8.141545064,9.745238095
557,6.538158845,8.171587983,9.80074184
558,6.550794224,8.204944882,9.857121662
559,6.563429603,8.239590551,9.913501484
560,6.574339964,8.27423622,9.971744792
561,6.583381555,8.30888189,10.03164063
562,6.592423146,8.343527559,10.09153646
563,6.601464738,8.378173228,10.15143229
564,6.610506329,8.412191977,10.21122078
565,6.61954792,8.445143266,10.27096104
566,6.627723577,8.478094556,10.3307013
567,6.635853659,8.511045845,10.39044156
568,6.64398374,8.543997135,10.4459375
569,6.652113821,8.576948424,10.500625
570,6.660243902,8.609899713,10.5553125
571,6.668373984,8.636610169,10.61
572,6.676504065,8.653559322,10.65398148
573,6.676292683,8.670508475,10.69796296
574,6.669788618,8.687457627,10.74194444
575,6.663284553,8.70440678,10.78592593
576,6.656780488,8.721355932,10.81315476
577,6.650276423,8.738305085,10.8325
578,6.643772358,8.755254237,10.85184524
579,6.631446029,8.76794835,10.87119048
580,6.61107943,8.752166428,10.89053571
581,6.590712831,8.736384505,10.90988095
582,6.570346232,8.720602582,10.92922619
583,6.549979633,8.70482066,10.90688604
584,6.516992481,8.689038737,10.88280899
585,6.471879699,8.673256815,10.85873194
586,6.426766917,8.65241535,10.8346549
587,6.381654135,8.605011287,10.81057785
588,6.3275,8.557607223,10.7865008
589,6.265,8.51020316,10.74007812
590,6.2025,8.462799097,10.68539063
591,6.14,8.401045365,10.63070313
592,6.072934783,8.333984221,10.57601563
593,6.005,8.266923077,10.50889552
594,5.937065217,8.199861933,10.44023881
595,5.868695652,8.132800789,10.37158209
596,5.798043478,8.060835214,10.30131343
597,5.727391304,7.986343115,10.22967164
598,5.65673913,7.911851016,10.15802985
599,5.584391691,7.837358916,10.08638806
600,5.510207715,7.764545455,10.01474627
601,5.436023739,7.697351779,9.943104478
602,5.361839763,7.630158103,9.871462687
603,5.287655786,7.562964427,9.805169713
604,5.21347181,7.495770751,9.739895561
605,5.139287834,7.428964912,9.67462141
606,5.074023669,7.364052632,9.609373368
607,5.011893491,7.299140351,9.546710183
608,4.949763314,7.23422807,9.484046997
609,4.892,7.169315789,9.421383812
610,4.842,7.104403509,9.361070496
611,4.792,7.056881068,9.311462141
612,4.742,7.028968447,9.261853786
613,4.692,7.001055825,9.212245431
614,4.6598778,6.973143204,9.174885177
615,4.633401222,6.945230583,9.160271399
616,4.606924644,6.917317961,9.14565762
617,4.580448065,6.88940534,9.131043841
618,4.553971487,6.861492718,9.116430063
619,4.553068592,6.842014011,9.117291667
620,4.5566787,6.850770578,9.1303125
621,4.560288809,6.859527145,9.143333333
622,4.563898917,6.868283713,9.156354167
623,4.567509025,6.87704028,9.18
624,4.575046512,6.885796848,9.207777778
625,4.591325581,6.904878398,9.235555556
626,4.607604651,6.933490701,9.270545455
627,4.623883721,6.962103004,9.306909091
628,4.640225,6.990715308,9.343272727
629,4.662725,7.019327611,9.379636364
630,4.685225,7.047939914,9.418671875
631,4.707725,7.076552217,9.457734375
632,4.730232019,7.107464183,9.496796875
633,4.753433875,7.140415473,9.53625
634,4.776635731,7.173366762,9.577916667
635,4.799837587,7.206318052,9.619583333
636,4.823039443,7.239269341,9.66125
637,4.848495935,7.27222063,9.702199074
638,4.874918699,7.30517192,9.741550926
639,4.901341463,7.329811123,9.780902778
640,4.927764228,7.347649528,9.82025463
641,4.954186992,7.365487933,9.859606481
642,4.970883721,7.383326338,9.879038462
643,4.984837209,7.401164743,9.898269231
644,4.998790698,7.419003148,9.9175
645,5.012744186,7.436841553,9.936730769
646,5.026697674,7.454679958,9.955961538
647,5.040651163,7.472518363,9.975192308
648,5.04522604,7.489538835,9.967847222
649,5.030759494,7.466480583,9.951643519
650,5.016292948,7.44342233,9.935439815
651,5.001826401,7.420364078,9.919236111
652,4.987359855,7.397305825,9.890522648
653,4.972893309,7.374247573,9.845226481
654,4.949175705,7.35118932,9.799930314
655,4.923145336,7.328131068,9.746944444
656,4.897114967,7.305072816,9.687916667
657,4.871084599,7.258947368,9.628888889
658,4.843391304,7.206315789,9.565343284
659,4.808608696,7.153684211,9.499671642
660,4.773826087,7.101052632,9.434
661,4.739043478,7.048421053,9.362372093
662,4.70426087,6.994565561,9.278651163
663,4.663327306,6.926635071,9.194930233
664,4.618119349,6.858704581,9.111209302
665,4.572911392,6.790774092,9.027424594
666,4.527703436,6.722843602,8.941577726
667,4.482495479,6.654913112,8.855730858
668,4.437221269,6.586982622,8.769883991
669,4.390909091,6.518275862,8.684037123
670,4.344596913,6.449310345,8.596372093
671,4.298284734,6.380344828,8.508
672,4.251972556,6.31137931,8.419627907
